updated	id	confirmed	deaths	recovered
2020-01-24 12:00:00	1136	3		
2020-01-27 19:00:00	1139	35		
2020-01-25 22:00:00	1142	15		
2020-01-31 14:00:00	1145	39		
2020-01-25 12:00:00	1148	5		
2020-02-01 10:00:00	1154	101		
2020-01-27 20:30:00	1157	35		
2020-01-28 18:00:00	1160	46		
2020-01-28 23:00:00	1163	56		
2020-02-02 21:00:00	1169	116		
2020-02-03 21:00:00	1172	128		
2020-01-27 09:00:00	1175	35		
2020-01-31 19:00:00	50	83		1
2020-01-29 13:30:00	1181	55		
2020-01-28 13:00:00	1184	44		
2020-01-23 12:00:00	1187	2		
2020-01-26 23:00:00	1190	19		
2020-01-30 11:00:00	1193	70		
2020-01-29 14:30:00	1196	55		
2020-01-29 21:00:00	1199	55		
2020-01-21 22:00:00	1202	1		
2020-01-26 11:00:00	1205	16		
2020-01-31 14:00:00	1208	83		1
2020-01-24 12:00:00	1211	2		
2020-01-25 12:00:00	1214	5		
2020-01-27 19:00:00	1217	26		
2020-01-25 22:00:00	1223	11		
2020-02-03 21:00:00	1226	117		5
2020-02-02 21:00:00	1229	105		3
2020-01-27 09:00:00	1232	26		
2020-01-22 12:00:00	1235	1		
2020-02-01 10:00:00	1238	91		2
2020-01-27 20:30:00	1241	26		
2020-01-28 18:00:00	1244	44		
2020-01-28 23:00:00	1247	44		
2020-01-30 11:00:00	53	65		
2020-01-29 14:30:00	1256	48		
2020-01-29 21:00:00	1259	65		
2020-01-26 11:00:00	1262	13		
2020-01-31 19:00:00	1265	96		
2020-01-29 13:30:00	1268	48		
2020-01-28 13:00:00	1271	33		
2020-01-23 12:00:00	1274	1		
2020-01-26 23:00:00	1277	18		
2020-02-03 21:00:00	1280	126		3
2020-01-27 09:00:00	1283	18		
2020-02-02 21:00:00	1286	113		3
2020-01-22 12:00:00	1289	1		
2020-01-27 20:30:00	1292	33		
2020-02-01 10:00:00	1295	96		
2020-01-25 12:00:00	1298	8		
2020-01-28 18:00:00	1301	33		
2020-01-28 23:00:00	1304	48		
2020-01-31 14:00:00	1307	82		
2020-01-24 12:00:00	1310	2		
2020-01-27 19:00:00	1313	18		
2020-01-25 22:00:00	1322	13		
2020-01-27 09:00:00	56	21		
2020-02-03 21:00:00	1328	155		2
2020-02-02 21:00:00	1331	95		2
2020-01-27 20:30:00	1334	30		
2020-02-01 10:00:00	1337	80		2
2020-01-28 23:00:00	1340	37		
2020-01-28 18:00:00	1343	33		
2020-01-25 12:00:00	1346	9		
2020-01-24 12:00:00	1349	4		
2020-01-31 14:00:00	1352	59		
2020-01-25 22:00:00	1355	15		
2020-01-27 19:00:00	1361	21		
2020-01-29 14:30:00	1364	38		
2020-01-30 11:00:00	1370	44		
2020-01-26 11:00:00	1373	15		
2020-01-29 21:00:00	1376	43		
2020-01-31 19:00:00	1379	59		
2020-01-28 13:00:00	1382	33		
2020-01-29 13:30:00	1385	38		
2020-01-26 23:00:00	1388	21		
2020-01-23 12:00:00	1391	2		
2020-01-26 11:00:00	59	22		
2020-01-29 21:00:00	1397	43		
2020-01-29 14:30:00	1400	43		
2020-01-30 11:00:00	1403	46		1
2020-01-29 13:30:00	1406	43		1
2020-01-23 12:00:00	1409	5		
2020-01-28 13:00:00	1412	40		
2020-01-26 23:00:00	1415	22		
2020-01-31 19:00:00	1418	58		1
2020-01-28 23:00:00	1421	43		
2020-01-25 12:00:00	1424	19		
2020-01-28 18:00:00	1427	40		
2020-02-01 10:00:00	1430	62		1
2020-01-27 20:30:00	1433	33		
2020-01-22 12:00:00	1436	4		
2020-02-03 21:00:00	1439	79		4
2020-02-02 21:00:00	1442	71		4
2020-01-27 09:00:00	1445	33		
2020-01-25 22:00:00	1448	19		
2020-01-24 12:00:00	1451	8		
2020-01-27 19:00:00	1454	33		
2020-01-31 14:00:00	1457	52		1
2020-01-31 14:00:00	62	48		1
2020-01-24 12:00:00	1469	4		
2020-01-25 12:00:00	1472	15		
2020-01-27 19:00:00	1475	27		
2020-01-25 22:00:00	1481	19		
2020-01-27 09:00:00	1484	27		
2020-02-03 21:00:00	1487	74		1
2020-02-02 21:00:00	1490	70		1
2020-01-22 12:00:00	1493	2		
2020-01-27 20:30:00	1496	27		
2020-02-01 10:00:00	1499	63		1
2020-01-28 18:00:00	1502	34		
2020-01-28 23:00:00	1508	36		
2020-01-31 19:00:00	1511	60		1
2020-01-26 23:00:00	1514	23		
2020-01-29 13:30:00	1517	39		
2020-01-28 13:00:00	1520	34		
2020-01-23 12:00:00	1523	3		
2020-01-30 11:00:00	1526	41		1
2020-01-29 14:30:00	1529	39		1
2020-01-29 21:00:00	1532	39		1
2020-01-26 11:00:00	1535	21		
2020-02-01 10:00:00	65	47		1
2020-01-27 20:30:00	1541	20		
2020-01-28 23:00:00	1544	27		
2020-01-28 18:00:00	1547	27		
2020-01-25 12:00:00	1550	6		
2020-01-27 09:00:00	1553	13		
2020-02-03 21:00:00	1556	74		2
2020-02-02 21:00:00	1559	66		3
2020-01-22 12:00:00	1562	1		
2020-01-25 22:00:00	1565	9		
2020-01-24 12:00:00	1568	1		
2020-01-27 19:00:00	1571	13		
2020-01-31 14:00:00	1574	39		1
2020-01-26 11:00:00	1580	9		
2020-01-29 21:00:00	1586	35		1
2020-01-29 14:30:00	1589	27		1
2020-01-30 11:00:00	1592	35		1
2020-01-23 12:00:00	1595	1		
2020-01-29 13:30:00	1598	27		
2020-01-26 23:00:00	1601	13		
2020-01-28 13:00:00	1604	20		
2020-01-31 19:00:00	1607	47		1
2020-01-29 13:30:00	68	27		
2020-01-23 12:00:00	1613	4		
2020-01-26 23:00:00	1616	14		
2020-01-28 13:00:00	1619	24		
2020-01-31 19:00:00	1622	32		
2020-01-29 21:00:00	1625	27		
2020-01-26 11:00:00	1628	14		
2020-01-21 22:00:00	1631	2		
2020-01-30 11:00:00	1634	31		
2020-01-29 14:30:00	1637	27		
2020-01-24 12:00:00	1640	5		
2020-01-27 19:00:00	1643	23		
2020-01-25 22:00:00	1646	13		
2020-01-31 14:00:00	1649	32		
2020-01-25 12:00:00	1652	8		
2020-01-27 20:30:00	1658	23		
2020-02-01 10:00:00	1661	38		
2020-01-28 18:00:00	1664	24		
2020-01-28 23:00:00	1670	25		
2020-01-27 09:00:00	1673	22		
2020-02-03 21:00:00	1676	60		1
2020-02-02 21:00:00	1679	48		1
2020-01-22 12:00:00	1682	4		
2020-01-31 19:00:00	71	35		
2020-01-26 23:00:00	1688	14		
2020-01-29 13:30:00	1691	24		
2020-01-23 12:00:00	1694	2		
2020-01-28 13:00:00	1697	19		
2020-01-29 14:30:00	1700	24		
2020-01-30 11:00:00	1703	26		
2020-01-26 11:00:00	1706	7		
2020-01-29 21:00:00	1709	26		
2020-01-25 12:00:00	1712	4		
2020-01-24 12:00:00	1715	2		
2020-01-31 14:00:00	1718	29		
2020-01-25 22:00:00	1721	7		
2020-01-27 19:00:00	1724	14		
2020-02-03 21:00:00	1727	55		3
2020-01-27 09:00:00	1733	14		
2020-02-02 21:00:00	1736	51		3
2020-01-28 23:00:00	1739	24		
2020-01-28 18:00:00	1742	19		
2020-01-27 20:30:00	1748	19		
2020-02-01 10:00:00	1751	35		
2020-01-28 18:00:00	74	9		
2020-01-25 12:00:00	1757	4		
2020-01-28 23:00:00	1760	9		
2020-01-27 20:30:00	1763	9		
2020-02-01 10:00:00	1766	29		2
2020-01-22 12:00:00	1769	1		
2020-01-27 09:00:00	1772	7		
2020-02-03 21:00:00	1775	56		2
2020-02-02 21:00:00	1778	46		2
2020-01-24 12:00:00	1781	3		
2020-01-27 19:00:00	1784	7		
